frame,timestamp,personas
1724,57.467,-471.45
1726,57.533,-471.33
1728,57.6,-471.32
1730,57.667,-471.4
1732,57.733,-471.37
1734,57.8,-471.42
1736,57.867,-471.41
1738,57.933,-471.45
1740,58.0,-471.45
1742,58.067,-471.44
1744,58.133,-471.44
1746,58.2,-471.42
1748,58.267,-471.38
1750,58.333,-471.19
1752,58.4,-471.19
1754,58.467,-471.22
1756,58.533,-471.08
1758,58.6,-471.11
1760,58.667,-471.21
1762,58.733,-471.18
1764,58.8,-471.1
1766,58.867,-471.13
1768,58.933,-471.01
1770,59.0,-471.06
1772,59.067,-471.02
1774,59.133,-471.04
1776,59.2,-471.06
1778,59.267,-471.04
1780,59.333,-471.03
1782,59.4,-471.04
1784,59.467,-471.05
1786,59.533,-471.08
1788,59.6,-471.1
1790,59.667,-471.13
1792,59.733,-471.13
1794,59.8,-471.2
1796,59.867,-471.2
1798,59.933,-471.22
1800,60.0,-471.22
1802,60.067,-471.19
1804,60.133,-471.2
1806,60.2,-471.18
1808,60.267,-471.26
1810,60.333,-471.2
1812,60.4,-471.23
1814,60.467,-471.23
1816,60.533,-471.18
1818,60.6,-471.24
1820,60.667,-471.21
1822,60.733,-471.22
1824,60.8,-471.25
1826,60.867,-471.29
1828,60.933,-471.29
1830,61.0,-471.34
1832,61.067,-471.32
1834,61.133,-471.29
1836,61.2,-471.31
1838,61.267,-471.31
1840,61.333,-471.32
1842,61.4,-471.2
1844,61.467,-471.26
1846,61.533,-471.25
1848,61.6,-471.25
1850,61.667,-471.28
1852,61.733,-471.25
1854,61.8,-471.19
1856,61.867,-471.21
1858,61.933,-471.29
1860,62.0,-471.3
1862,62.067,-471.29
1864,62.133,-471.27
1866,62.2,-471.3
1868,62.267,-471.29
1870,62.333,-471.27
1872,62.4,-471.47
1874,62.467,-471.43
1876,62.533,-471.42
1878,62.6,-471.46
1880,62.667,-471.44
1882,62.733,-471.46
1884,62.8,-471.41
1886,62.867,-471.38
1888,62.933,-471.38
1890,63.0,-471.37
1892,63.067,-471.38
1894,63.133,-471.34
1896,63.2,-471.34
1898,63.267,-471.27
1900,63.333,-471.3
1902,63.4,-471.37
1904,63.467,-471.4
1906,63.533,-471.69
1908,63.6,-471.78
1910,63.667,-471.77
1912,63.733,-471.83
1914,63.8,-471.5
1916,63.867,-471.52
1918,63.933,-471.53
1920,64.0,-471.61
1922,64.067,-471.42
1924,64.133,-471.49
1926,64.2,-471.4
1928,64.267,-471.43
1930,64.333,-471.39
1932,64.4,-471.43
1934,64.467,-471.46
1936,64.533,-471.5
1938,64.6,-471.46
1940,64.667,-471.4
1942,64.733,-471.36
1944,64.8,-471.45
1946,64.867,-471.42
1948,64.933,-471.38
1950,65.0,-471.36
1952,65.067,-471.36
1954,65.133,-471.37
1956,65.2,-471.47
1958,65.267,-471.42
1960,65.333,-471.45
1962,65.4,-471.46
1964,65.467,-471.58
1966,65.533,-471.77
1968,65.6,-471.58
1970,65.667,-471.57
1972,65.733,-471.83
1974,65.8,-471.79
1976,65.867,-471.85
1978,65.933,-471.97
1980,66.0,-471.69
1982,66.067,-471.53
1984,66.133,-471.45
1986,66.2,-471.61
1988,66.267,-471.63
1990,66.333,-471.53
1992,66.4,-471.62
1994,66.467,-471.56
1996,66.533,-471.47
1998,66.6,-471.41
2000,66.667,-471.52
2002,66.733,-471.47
2004,66.8,-471.58
2006,66.867,-471.68
2008,66.933,-471.73
2010,67.0,-471.57
2012,67.067,-471.59
2014,67.133,-471.71
2016,67.2,-471.71
2018,67.267,-471.68
2020,67.333,-471.71
2022,67.4,-471.53
2024,67.467,-471.72
2026,67.533,-471.68
2028,67.6,-471.72
2030,67.667,-471.65
2032,67.733,-471.88
2034,67.8,-471.91
2036,67.867,-471.51
2038,67.933,-471.69
2040,68.0,-471.75
2042,68.067,-471.85
2044,68.133,-471.97
2046,68.2,-471.68
2048,68.267,-471.65
2050,68.333,-471.77
2052,68.4,-471.71
2054,68.467,-471.74
2056,68.533,-471.63
2058,68.6,-471.57
2060,68.667,-471.5
2062,68.733,-471.52
2064,68.8,-471.48
2066,68.867,-471.34
2068,68.933,-471.3
2070,69.0,-471.28
2072,69.067,-471.35
2074,69.133,-471.24
2076,69.2,-471.4
2078,69.267,-471.39
2080,69.333,-471.18
2082,69.4,-471.25
2084,69.467,-471.28
2086,69.533,-471.36
2088,69.6,-471.28
2090,69.667,-471.22
2092,69.733,-471.35
2094,69.8,-471.29
2096,69.867,-471.41
2098,69.933,-471.55
2100,70.0,-471.56
2102,70.067,-471.49
2104,70.133,-471.58
2106,70.2,-471.54
2108,70.267,-471.58
2110,70.333,-471.64
2112,70.4,-471.53
2114,70.467,-471.6
2116,70.533,-471.62
2118,70.6,-471.6
2120,70.667,-471.7
2122,70.733,-471.76
2124,70.8,-471.56
2126,70.867,-471.63
2128,70.933,-471.56
2130,71.0,-471.67
2132,71.067,-471.57
2134,71.133,-471.67
2136,71.2,-471.7
2138,71.267,-471.72
2140,71.333,-471.66
2142,71.4,-471.65
2144,71.467,-471.64
2146,71.533,-471.62
2148,71.6,-471.63
2150,71.667,-471.62
2152,71.733,-471.59
2154,71.8,-471.59
2156,71.867,-471.62
2158,71.933,-471.6
2160,72.0,-471.59
2162,72.067,-471.63
2164,72.133,-471.63
2166,72.2,-471.64
2168,72.267,-471.61
2170,72.333,-471.61
2172,72.4,-471.63
2174,72.467,-471.63
2176,72.533,-471.59
2178,72.6,-471.62
2180,72.667,-471.58
2182,72.733,-471.58
2184,72.8,-471.58
2186,72.867,-471.59
2188,72.933,-471.6
2190,73.0,-471.64
2192,73.067,-471.67
2194,73.133,-471.58
2196,73.2,-471.59
2198,73.267,-471.59
2200,73.333,-471.64
2202,73.4,-471.6
2204,73.467,-471.61
2206,73.533,-471.59
2208,73.6,-471.59
2210,73.667,-471.6
2212,73.733,-471.55
2214,73.8,-471.56
2216,73.867,-471.6
2218,73.933,-471.58
2220,74.0,-471.58
2222,74.067,-471.58
2224,74.133,-471.61
2226,74.2,-471.59
2228,74.267,-471.6
2230,74.333,-471.57
2232,74.4,-471.58
2234,74.467,-471.58
2236,74.533,-471.55
2238,74.6,-471.55
2240,74.667,-471.56
2242,74.733,-471.57
2244,74.8,-471.57
2246,74.867,-471.55
2248,74.933,-471.56
2250,75.0,-471.44
2252,75.067,-471.47
2254,75.133,-471.49
2256,75.2,-471.45
2258,75.267,-471.49
2260,75.333,-471.45
2262,75.4,-471.44
2264,75.467,-471.39
2266,75.533,-471.37
2268,75.6,-471.37
2270,75.667,-471.35
2272,75.733,-471.4
2274,75.8,-471.42
2276,75.867,-471.45
2278,75.933,-471.46
2280,76.0,-471.47
2282,76.067,-471.45
2284,76.133,-471.41
2286,76.2,-471.43
2288,76.267,-471.43
2290,76.333,-471.46
2292,76.4,-471.46
2294,76.467,-471.48
2296,76.533,-471.54
2298,76.6,-471.53
2300,76.667,-471.38
2302,76.733,-471.29
2304,76.8,-471.26
2306,76.867,-471.18
2308,76.933,-471.3
2310,77.0,-471.07
2312,77.067,-471.19
2314,77.133,-470.95
2316,77.2,-471.25
2318,77.267,-471.5
2320,77.333,-471.58
2322,77.4,-471.64
2324,77.467,-471.91
2326,77.533,-471.81
2328,77.6,-471.74
2330,77.667,-471.55
2332,77.733,-471.33
2334,77.8,-471.38
2336,77.867,-471.16
2338,77.933,-471.34
2340,78.0,-471.23
2342,78.067,-471.23
2344,78.133,-471.27
2346,78.2,-471.21
2348,78.267,-471.32
2350,78.333,-471.26
2352,78.4,-471.36
2354,78.467,-471.49
2356,78.533,-471.5
2358,78.6,-471.41
2360,78.667,-471.47
2362,78.733,-471.47
2364,78.8,-471.39
2366,78.867,-471.43
2368,78.933,-471.49
2370,79.0,-471.46
2372,79.067,-471.49
2374,79.133,-471.51
2376,79.2,-471.5
2378,79.267,-471.48
2380,79.333,-471.48
2382,79.4,-471.46
2384,79.467,-471.44
2386,79.533,-471.45
2388,79.6,-471.5
2390,79.667,-471.51
2392,79.733,-471.51
2394,79.8,-471.47
2396,79.867,-471.45
2398,79.933,-471.47
2400,80.0,-471.46
2402,80.067,-471.49
2404,80.133,-471.5
2406,80.2,-471.48
2408,80.267,-471.52
